"Aug 21, 2018 ",32.985920,-96.828290,481130136111007,Block 1007,1,17300 dallas pkwy,dallas,75248,tx,41,Car-Dependent,,,45,Somewhat Bikeable,11650sqft,2275sqftyr, Office ,",Floors,3,Total,Size,139,609,sqft,Lot,Size,3,acres,Parking,Ratio,3,37,1000,Elevators,3,Year,Constructed,1983,Building,Class,B,Close,Highway,s,I,635,Close,To,The,Galleria,Bent,Tree,Country,Club,Golf,Course,Onsite,Parking,Parking,Garage,Key,Card,Access,On,Site,Security,",3,139609sqft,3acres,337 1000,1983,B,nan,187840.0,0.19,0.14729,0.06718,0.18217,0.18605,0.4173,0.9549,0.5935,https://42floors.com/us/tx/dallas/17300-dallas-pkwy
"Feb 27, 2018 ",32.913506,-96.745190,481130078041017,Block 1017,1,12225 greenville ave,dallas,75243,tx,67,Somewhat Walkable,,,50,Bikeable,23210sqft,1600sqftyr, Office ,",Floors,10,Total,Size,259,807,sqft,Parking,Ratio,4,1000,Year,Constructed,1987,Year,Renovated,2015,Building,Class,A,Gym,Onsite,Parking,On,Site,Security,",10,259807sqft,nan,4 1000,1987,A,nan,47109.0,0.19,0.34223,0.19903,0.4017,0.05704,0.0,0.8621,0.3557,https://42floors.com/us/tx/dallas/12225-greenville-ave
"Jun 21, 2018 ",32.972527,-96.713920,481130190381015,Block 1015,1,1850 n greenville ave,richardson,75081,tx,43,Car-Dependent,,,nan,nan,1840sqft,NotProvided, Mixed Use ,",Construction,Type,Brick,Concrete,Glass,Close,Highway,s,l,75,Onsite,Parking,",nan,nan,nan,nan,nan,nan,nan,64463.0,0.19,0.0,0.34309,0.58245,0.07447,0.0,0.8344,0.3204,https://42floors.com/us/tx/richardson/1850-n-greenville-ave
"Jul 31, 2018 ",32.914707,-96.767815,481130132002025,Block 2025,2,12655 n central expy,dallas,75243,tx,46,Car-Dependent,,,62,Bikeable,2060sqft,1650sqftyr, Office ,",Floors,10,Total,Size,198,374,sqft,Parking,Ratio,4,1000,Year,Constructed,1983,Building,Class,B,Close,Highway,s,Route,75,Close,To,Dallas,Fort,Worth,International,Airport,Love,Field,Airport,State,of,the,Art,Landmark,Fitness,Club,Onsite,Parking,On,Site,Security,",10,198374sqft,nan,4 1000,1983,B,nan,23707.0,0.19,0.57692,0.25128,0.1718,0.0,0.0,0.7145,0.1211,https://42floors.com/us/tx/dallas/12655-n-central-expy
"Mar 09, 2018 ",32.985226,-96.828804,481130136161002,Block 1002,1,17110 dallas pkwy,dallas,75248,tx,46,Car-Dependent,nan,nan,47,Somewhat Bikeable,2750sqft,NotProvided, Office Medical ,",Total,Size,57,000,sqft,Onsite,Parking,Parking,Garage,Key,Card,Access,On,Site,Security,",nan,57000sqft,nan,nan,nan,nan,nan,63535.0,0.19,0.20506,0.20506,0.36236,0.1573,0.0702,0.9728,0.5858,https://42floors.com/us/tx/dallas/17110-dallas-pkwy
"Jul 31, 2018 ",32.924934,-96.767390,481130192081004,Block 1004,1,8111 lyndon b johnson fwy,dallas,75251,tx,52,Somewhat Walkable,,,63,Bikeable,5000sqft,1550sqftyr, Office ,",Floors,15,Total,Size,266,412,sqft,Parking,Ratio,3,1000,Year,Constructed,1983,Building,Class,B,Close,Highway,s,75,635,Close,To,DFW,Airport,Love,Field,Airport,Gym,Onsite,Parking,On,Site,Security,",15,266412sqft,nan,3 1000,1983,B,nan,28818.0,0.19,0.35558,0.45568,0.17518,0.01356,0.0,0.5847,0.1628,https://42floors.com/us/tx/dallas/8111-lyndon-b-johnson-fwy
"Jul 26, 2018 ",33.003845,-96.829430,480850317112002,Block 2002,2,18583 dallas pkwy,dallas,75287,tx,43,Car-Dependent,,,49,Somewhat Bikeable,1000sqft,NotProvided, Office ,",Floors,2,Total,Size,121,755,sqft,Year,Constructed,1998,Year,Renovated,2011,Building,Class,B,Onsite,Parking,Key,Card,Access,",2,121755sqft,nan,nan,1998,B,nan,106329.0,0.077,0.02941,0.23529,0.23785,0.3312,0.1662,0.9966,0.6208,https://42floors.com/us/tx/dallas/18583-dallas-pkwy
"Apr 11, 2018 ",32.960270,-96.768936,481130192042004,Block 2004,2,980 n coit rd,richardson,75080,tx,67,Somewhat Walkable,,,53,Bikeable,2490sqft,1900sqftyr, Retail ,",Total,Size,176,585,sqft,Parking,Ratio,4,1000,Year,Constructed,1977,Onsite,Parking,",nan,176585sqft,nan,4 1000,1977,nan,nan,59040.0,0.19,0.02528,0.30056,0.5,0.1236,0.0506,0.7091,0.2736,https://42floors.com/us/tx/richardson/980-n-coit-rd
"Aug 17, 2018 ",33.028793,-96.706280,480850319001024,Block 1024,1,101 e park blvd,plano,75074,tx,56,Somewhat Walkable,,,71,Very Bikeable,1280sqft,2531sqftyr, Office ,",Floors,13,Total,Size,225,445,sqft,Lot,Size,10,acres,Parking,Ratio,4,1000,Elevator,1,Zoning,CC,Year,Constructed,1983,Building,Class,A,Construction,Type,Wood,Glass,Close,Public,Transit,Orange,Red,DART,Close,Highway,s,US,75,TX,121,Close,To,Parker,Road,Collin,Creek,Mall,Best,Western,Holiday,Inn,Days,Inn,Ramada,Limited,Onsite,Parking,Key,Card,Access,On,Site,Security,",13,225445sqft,10acres,4 1000,1983,A,CC,47145.0,0.077,0.22772,0.36634,0.40594,0.0,0.0,0.313,0.0658,https://42floors.com/us/tx/plano/101-e-park-blvd
"Mar 08, 2018 ",32.732950,-97.434590,484391023013013,Block 3013,3,2909 lackland rd,fort-worth,76116,tx,54,Somewhat Walkable,,,42,Somewhat Bikeable,2150sqft,1550sqftyr, Office ,",Floors,2,Total,Size,4,305,sqft,Lot,Size,22,198,sqft,Parking,Ratio,2,94,1000,Elevator,1,Zoning,ER,Neighborhood,Commercial,Restricted,Year,Constructed,1985,Building,Class,B,Onsite,Parking,",2,4305sqft,22198sqft,294 1000,1985,B,ERNeighborhoodCommercialRestricted,34409.0,0.144,0.38421,0.38684,0.1,0.12895,0.0,0.638,0.2097,https://42floors.com/us/tx/fort-worth/2909-lackland-rd
"Aug 19, 2018 ",32.688583,-97.323870,484391045032026,Block 2026,2,405 e bolt st,fort-worth,76110,tx,71,Very Walkable,,,57,Bikeable,2260sqft,2500sqftyr, Office ,",Total,Size,9,074,sqft,Close,Highway,s,I,35W,I,20,I,30,Close,To,La,Gran,Plaza,Onsite,Parking,",nan,9074sqft,nan,nan,nan,nan,nan,25478.0,0.144,0.52941,0.13811,0.29923,0.03325,0.0,0.4859,0.1449,https://42floors.com/us/tx/fort-worth/405-e-bolt-st
